,year,round,team1,team2,hscore,ascore
0,2018,1,Adelaide,Essendon,99,87
1,2018,1,North Melbourne,Gold Coast,55,39
2,2018,1,Western Bulldogs,Greater Western Sydney,133,51
3,2018,1,Collingwood,Hawthorn,101,67
4,2018,1,Geelong,Melbourne,94,97
5,2018,1,Fremantle,Port Adelaide,110,60
6,2018,1,Carlton,Richmond,121,95
7,2018,1,Brisbane Lions,St Kilda,107,82
8,2018,1,Sydney,West Coast,86,115
9,2018,2,Richmond,Adelaide,118,82
10,2018,2,Melbourne,Brisbane Lions,74,100
11,2018,2,Gold Coast,Carlton,67,101
12,2018,2,Greater Western Sydney,Collingwood,79,95
13,2018,2,Essendon,Fremantle,106,90
14,2018,2,Hawthorn,Geelong,117,118
15,2018,2,St Kilda,North Melbourne,95,43
16,2018,2,Port Adelaide,Sydney,71,94
17,2018,2,West Coast,Western Bulldogs,70,121
18,2018,3,Collingwood,Carlton,76,100
19,2018,3,Fremantle,Gold Coast,68,96
20,2018,3,North Melbourne,Melbourne,123,86
21,2018,3,Brisbane Lions,Port Adelaide,97,92
22,2018,3,Hawthorn,Richmond,102,89
23,2018,3,Adelaide,St Kilda,55,104
24,2018,3,Greater Western Sydney,Sydney,103,87
25,2018,3,Geelong,West Coast,95,80
26,2018,3,Essendon,Western Bulldogs,104,83
27,2018,4,Collingwood,Adelaide,58,106
28,2018,4,Port Adelaide,Essendon,106,84
29,2018,4,St Kilda,Geelong,103,56
30,2018,4,Fremantle,Greater Western Sydney,82,51
31,2018,4,Melbourne,Hawthorn,115,48
32,2018,4,Carlton,North Melbourne,116,30
33,2018,4,Brisbane Lions,Richmond,110,17
34,2018,4,Gold Coast,West Coast,139,59
35,2018,4,Sydney,Western Bulldogs,79,86
36,2018,5,Gold Coast,Brisbane Lions,71,76
37,2018,5,West Coast,Carlton,69,79
38,2018,5,Essendon,Collingwood,101,52
39,2018,5,Western Bulldogs,Fremantle,108,54
40,2018,5,Richmond,Melbourne,56,102
41,2018,5,Hawthorn,North Melbourne,98,70
42,2018,5,Geelong,Port Adelaide,50,84
43,2018,5,Greater Western Sydney,St Kilda,73,73
44,2018,5,Adelaide,Sydney,75,85
45,2018,6,Gold Coast,Adelaide,110,62
46,2018,6,Richmond,Collingwood,70,113
47,2018,6,Melbourne,Essendon,72,108
48,2018,6,West Coast,Fremantle,81,89
49,2018,6,Sydney,Geelong,69,86
50,2018,6,Brisbane Lions,Greater Western Sydney,77,43
51,2018,6,St Kilda,Hawthorn,89,54
52,2018,6,Port Adelaide,North Melbourne,69,102
53,2018,6,Carlton,Western Bulldogs,80,59
54,2018,7,Carlton,Adelaide,125,70
55,2018,7,Collingwood,Brisbane Lions,114,121
56,2018,7,Hawthorn,Essendon,67,90
57,2018,7,Greater Western Sydney,Geelong,93,32
58,2018,7,Fremantle,Richmond,110,33
59,2018,7,Melbourne,St Kilda,67,106
60,2018,7,North Melbourne,Sydney,66,68
61,2018,7,Port Adelaide,West Coast,102,60
62,2018,7,Gold Coast,Western Bulldogs,81,72
63,2018,8,Essendon,Carlton,91,78
64,2018,8,Geelong,Collingwood,45,66
65,2018,8,St Kilda,Fremantle,89,59
66,2018,8,Melbourne,Gold Coast,77,146
67,2018,8,West Coast,Greater Western Sydney,61,86
68,2018,8,Sydney,Hawthorn,71,79
69,2018,8,Richmond,North Melbourne,72,82
70,2018,8,Adelaide,Port Adelaide,95,90
71,2018,8,Brisbane Lions,Western Bulldogs,107,93
72,2018,9,Western Bulldogs,Adelaide,63,26
73,2018,9,Hawthorn,Brisbane Lions,129,73
74,2018,9,Melbourne,Carlton,50,159
75,2018,9,Geelong,Essendon,84,50
76,2018,9,Port Adelaide,Gold Coast,42,82
77,2018,9,Greater Western Sydney,North Melbourne,112,69
78,2018,9,Collingwood,St Kilda,72,100
79,2018,9,Fremantle,Sydney,111,52
80,2018,9,Richmond,West Coast,130,83
81,2018,10,Sydney,Brisbane Lions,49,67
82,2018,10,Western Bulldogs,Collingwood,90,55
83,2018,10,North Melbourne,Fremantle,58,86
84,2018,10,Carlton,Geelong,73,45
85,2018,10,Essendon,Greater Western Sydney,60,95
86,2018,10,West Coast,Hawthorn,60,75
87,2018,10,Adelaide,Melbourne,146,55
88,2018,10,St Kilda,Richmond,105,77
89,2018,11,Greater Western Sydney,Adelaide,81,97
90,2018,11,Fremantle,Collingwood,138,77
91,2018,11,Richmond,Essendon,43,114
92,2018,11,Geelong,Gold Coast,36,121
93,2018,11,Port Adelaide,Hawthorn,64,61
94,2018,11,Brisbane Lions,North Melbourne,141,87
95,2018,11,Carlton,Sydney,91,61
96,2018,11,St Kilda,West Coast,101,88
97,2018,11,Melbourne,Western Bulldogs,51,100
98,2018,12,Essendon,Brisbane Lions,62,84
99,2018,12,Adelaide,Fremantle,71,68
100,2018,12,North Melbourne,Geelong,96,59
101,2018,12,Gold Coast,Greater Western Sydney,134,26
102,2018,12,Collingwood,Melbourne,91,133
103,2018,12,Richmond,Port Adelaide,72,58
104,2018,12,Sydney,St Kilda,55,126
105,2018,13,Fremantle,Carlton,46,103
106,2018,13,Richmond,Geelong,65,83
107,2018,13,St Kilda,Gold Coast,78,80
108,2018,13,Adelaide,Hawthorn,88,32
109,2018,13,Western Bulldogs,Port Adelaide,132,75
110,2018,13,West Coast,Sydney,72,57
111,2018,14,Greater Western Sydney,Brisbane Lions,82,109
112,2018,14,Carlton,Collingwood,79,59
113,2018,14,Gold Coast,Hawthorn,96,43
114,2018,14,Melbourne,Port Adelaide,75,65
115,2018,14,Essendon,West Coast,52,80
116,2018,14,North Melbourne,Western Bulldogs,75,77
117,2018,15,West Coast,Adelaide,88,78
118,2018,15,Port Adelaide,Carlton,69,90
119,2018,15,North Melbourne,Essendon,125,108
120,2018,15,Brisbane Lions,Fremantle,64,119
121,2018,15,Collingwood,Gold Coast,60,99
122,2018,15,Hawthorn,Greater Western Sydney,95,84
123,2018,15,St Kilda,Melbourne,117,119
124,2018,15,Sydney,Richmond,93,67
125,2018,15,Geelong,Western Bulldogs,103,101
126,2018,16,Carlton,Brisbane Lions,120,55
127,2018,16,Collingwood,Essendon,62,78
128,2018,16,Fremantle,Melbourne,102,48
129,2018,16,Gold Coast,North Melbourne,95,58
130,2018,16,St Kilda,Port Adelaide,86,50
131,2018,16,Adelaide,Richmond,103,56
132,2018,16,Geelong,Sydney,59,71
133,2018,16,Greater Western Sydney,West Coast,86,75
134,2018,16,Hawthorn,Western Bulldogs,59,122
135,2018,17,Geelong,Adelaide,112,97
136,2018,17,West Coast,Collingwood,67,102
137,2018,17,Port Adelaide,Fremantle,59,50
138,2018,17,Essendon,Gold Coast,51,95
139,2018,17,Richmond,Greater Western Sydney,79,77
140,2018,17,Brisbane Lions,Hawthorn,65,98
141,2018,17,Western Bulldogs,Melbourne,119,69
142,2018,17,Sydney,North Melbourne,98,104
143,2018,17,Carlton,St Kilda,116,52
144,2018,18,Adelaide,Brisbane Lions,88,93
145,2018,18,Hawthorn,Carlton,52,124
146,2018,18,North Melbourne,Collingwood,130,64
147,2018,18,Fremantle,Essendon,99,70
148,2018,18,Melbourne,Geelong,100,98
149,2018,18,Greater Western Sydney,Port Adelaide,58,80
150,2018,18,Richmond,St Kilda,57,111
151,2018,18,Gold Coast,Sydney,64,88
152,2018,18,Western Bulldogs,West Coast,100,46
153,2018,19,Melbourne,Adelaide,77,90
154,2018,19,Sydney,Essendon,109,66
155,2018,19,Hawthorn,Fremantle,53,112
156,2018,19,Brisbane Lions,Geelong,120,78
157,2018,19,Carlton,Gold Coast,44,79
158,2018,19,St Kilda,Greater Western Sydney,86,61
159,2018,19,West Coast,North Melbourne,81,41
160,2018,19,Collingwood,Richmond,105,77
161,2018,19,Port Adelaide,Western Bulldogs,34,78
162,2018,20,Port Adelaide,Adelaide,96,93
163,2018,20,North Melbourne,Brisbane Lions,104,107
164,2018,20,Greater Western Sydney,Carlton,46,151
165,2018,20,Essendon,Hawthorn,107,103
166,2018,20,Gold Coast,Melbourne,143,47
167,2018,20,Geelong,Richmond,85,82
168,2018,20,Western Bulldogs,St Kilda,68,103
169,2018,20,Collingwood,Sydney,73,71
170,2018,20,Fremantle,West Coast,142,84
171,2018,21,Brisbane Lions,Collingwood,104,73
172,2018,21,St Kilda,Essendon,122,79
173,2018,21,Carlton,Fremantle,101,72
174,2018,21,Richmond,Gold Coast,51,125
175,2018,21,Adelaide,Greater Western Sydney,106,92
176,2018,21,Geelong,Hawthorn,71,60
177,2018,21,Sydney,Melbourne,78,87
178,2018,21,Western Bulldogs,North Melbourne,85,92
179,2018,21,West Coast,Port Adelaide,58,62
180,2018,22,North Melbourne,Adelaide,86,77
181,2018,22,Western Bulldogs,Carlton,49,66
182,2018,22,Port Adelaide,Collingwood,115,64
183,2018,22,Fremantle,Geelong,158,25
184,2018,22,Brisbane Lions,Gold Coast,74,78
185,2018,22,Sydney,Greater Western Sydney,60,80
186,2018,22,Essendon,Richmond,81,73
