,Rank,Player,Team,CurrentSalary,RoundSalary,RoundScore,RoundValue,Year,Round
0,1,Lance Franklin,Swans,"$427,500","$540,500",175,32.4,2018,1
1,2,Tom Mitchell,Hawks,"$528,600","$653,500",167,25.6,2018,1
2,3,Kade Simpson,Blues,"$407,300","$516,300",150,29.1,2018,1
3,4,Luke Parker,Swans,"$572,100","$546,000",149,27.3,2018,1
4,5,Blake Acres,Saints,"$456,100","$412,300",144,34.9,2018,1
5,6,Dyson Heppell,Bombers,"$481,000","$547,300",142,25.9,2018,1
6,7,Justin Westhoff,Power,"$335,100","$479,600",140,29.2,2018,1
7,8,Max Gawn,Demons,"$622,100","$503,700",139,27.6,2018,1
8,8,Dustin Martin,Tigers,"$480,400","$656,000",139,21.2,2018,1
9,10,Rory Laird,Crows,"$703,900","$550,800",137,24.9,2018,1
10,11,Jack Steven,Saints,"$400,000","$498,600",135,27.1,2018,1
11,12,Jack Billings,Saints,"$405,400","$509,500",133,26.1,2018,1
12,13,Jarrod Witts,Suns,"$605,100","$518,300",131,25.3,2018,1
13,13,David Zaharakis,Bombers,"$322,100","$501,500",131,26.1,2018,1
14,13,Toby Greene,Giants,"$421,000","$528,100",131,24.8,2018,1
15,16,Patrick Cripps,Blues,"$611,900","$537,300",130,24.2,2018,1
16,17,Dylan Shiel,Giants,"$509,100","$537,300",129,24.0,2018,1
17,17,Stephen Coniglio,Giants,"$557,700","$452,400",129,28.5,2018,1
18,19,Charlie Curnow,Blues,"$474,200","$408,100",126,30.9,2018,1
19,20,James Sicily,Hawks,"$624,700","$402,800",125,31.0,2018,1
20,20,Joel Selwood,Cats,"$401,500","$562,000",125,22.2,2018,1
21,22,Clayton Oliver,Demons,"$699,800","$612,800",123,20.1,2018,1
22,23,Jeremy Cameron,Giants,"$501,500","$489,900",120,24.5,2018,1
23,23,Jackson Macrae,Bulldogs,"$634,400","$587,800",120,20.4,2018,1
24,25,Riley Bonner,Power,"$419,500","$257,300",119,46.2,2018,1
25,25,Jake Lloyd,Swans,"$507,300","$479,900",119,24.8,2018,1
26,27,Tim Kelly,Cats,"$476,100","$117,300",118,100.6,2018,1
27,28,Gary Ablett,Cats,"$424,300","$631,100",116,18.4,2018,1
28,28,Bryce Gibbs,Crows,"$290,100","$563,000",116,20.6,2018,1
29,28,Joshua Kelly,Giants,"$582,300","$628,600",116,18.5,2018,1
30,28,Jack Gunston,Hawks,"$393,700","$474,800",116,24.4,2018,1
31,32,Lachie Whitfield,Giants,"$473,800","$536,600",114,21.2,2018,1
32,32,Heath Shaw,Giants,"$372,800","$458,100",114,24.9,2018,1
33,34,Nicholas Naitanui,Eagles,"$537,500","$465,900",113,24.3,2018,1
34,34,Sebastian Ross,Saints,"$536,200","$555,300",113,20.3,2018,1
35,36,Aaron Young,Suns,"$325,700","$313,400",112,35.7,2018,1
36,36,Shannon Hurn,Eagles,"$577,800","$487,200",112,23.0,2018,1
37,36,James Stewart,Bombers,"$254,600","$367,300",112,30.5,2018,1
38,36,Charlie Dixon,Power,"$488,200","$499,800",112,22.4,2018,1
39,36,Touk Miller,Suns,"$662,400","$419,200",112,26.7,2018,1
40,41,Stefan Martin,Lions,"$296,300","$540,000",111,20.6,2018,1
41,42,Luke Shuey,Eagles,"$472,800","$529,100",110,20.8,2018,1
42,42,Chad Wingard,Power,"$352,400","$511,300",110,21.5,2018,1
43,42,Scott Thompson,Kangaroos,"$368,000","$384,300",110,28.6,2018,1
44,42,David Swallow,Suns,"$474,500","$468,500",110,23.5,2018,1
45,46,Elliot Yeo,Eagles,"$337,000","$561,300",109,19.4,2018,1
46,46,Daniel Butler,Tigers,"$299,000","$332,900",109,32.7,2018,1
